country_name,census_year,country_population,region_name,region_population
Japan,2018,"127,202,192",Tokyo,"8,336,599"
Japan,2018,"127,202,192",Yokohama,"3,574,443"
Japan,2018,"127,202,192",Osaka,"2,592,413"
Japan,2018,"127,202,192",Nagoya,"2,191,279"
Japan,2018,"127,202,192",Sapporo,"1,883,027"
Japan,2018,"127,202,192",Kobe,"1,528,478"
Japan,2018,"127,202,192",Kyoto,"1,459,640"
Japan,2018,"127,202,192",Fukuoka,"1,392,289"
Japan,2018,"127,202,192",Kawasaki,"1,306,785"
Japan,2018,"127,202,192",Saitama,"1,193,350"
Japan,2018,"127,202,192",Hiroshima,"1,143,841"
Japan,2018,"127,202,192",Yono,"1,077,730"
Japan,2018,"127,202,192",Sendai,"1,063,103"
Japan,2018,"127,202,192",Kitakyushu,"997,536"
Japan,2018,"127,202,192",Chiba,"919,729"
Japan,2018,"127,202,192",Sakai,"782,339"
Japan,2018,"127,202,192",Shizuoka,"701,561"
Japan,2018,"127,202,192",Kumamoto,"680,423"
Japan,2018,"127,202,192",Okayama,"639,652"
Japan,2018,"127,202,192",Hamamatsu,"605,098"
Japan,2018,"127,202,192",Hachioji,"579,399"
Japan,2018,"127,202,192",Honcho,"560,743"
Japan,2018,"127,202,192",Kagoshima,"555,352"
Japan,2018,"127,202,192",Niigata,"505,272"
Japan,2018,"127,202,192",Himeji,"481,493"
Japan,2018,"127,202,192",Matsudo,"470,277"
Japan,2018,"127,202,192",Nishinomiya-hama,"468,925"
Japan,2018,"127,202,192",Kawaguchi,"468,565"
Japan,2018,"127,202,192",Kanazawa,"458,937"
Japan,2018,"127,202,192",Utsunomiya,"449,865"
Japan,2018,"127,202,192",Oita,"448,907"
Japan,2018,"127,202,192",Matsuyama,"443,322"
Japan,2018,"127,202,192",Amagasaki,"442,173"
Japan,2018,"127,202,192",Kurashiki,"437,581"
Japan,2018,"127,202,192",Yokosuka,"428,992"
Japan,2018,"127,202,192",Nagasaki,"410,204"
Japan,2018,"127,202,192",Hirakata,"406,331"
Japan,2018,"127,202,192",Machida,"399,969"
Japan,2018,"127,202,192",Gifu-shi,"397,714"
Japan,2018,"127,202,192",Fujisawa,"394,624"
Japan,2018,"127,202,192",Toyonaka,"384,459"
Japan,2018,"127,202,192",Fukuyama,"383,298"
Japan,2018,"127,202,192",Toyohashi,"378,374"
Japan,2018,"127,202,192",Minato,"375,339"
Japan,2018,"127,202,192",Nara-shi,"367,353"
Japan,2018,"127,202,192",Toyota,"362,383"
Japan,2018,"127,202,192",Nagano,"360,176"
Japan,2018,"127,202,192",Iwaki,"357,309"
Japan,2018,"127,202,192",Asahikawa,"356,612"
Japan,2018,"127,202,192",Takatsuki,"354,468"
Japan,2018,"127,202,192",Okazaki,"352,361"
Japan,2018,"127,202,192",Suita,"351,630"
Japan,2018,"127,202,192",Wakayama,"351,000"
Japan,2018,"127,202,192",Koriyama,"340,560"
Japan,2018,"127,202,192",Kashiwa,"340,221"
Japan,2018,"127,202,192",Tokorozawa,"339,435"
Japan,2018,"127,202,192",Kawagoe,"337,931"
Japan,2018,"127,202,192",Kochi,"335,570"
Japan,2018,"127,202,192",Takamatsu,"334,223"
Japan,2018,"127,202,192",Toyama,"325,532"
Japan,2018,"127,202,192",Akita,"320,069"
Japan,2018,"127,202,192",Koshigaya,"317,437"
Japan,2018,"127,202,192",Miyazaki,"311,203"
Japan,2018,"127,202,192",Naha,"300,795"
Japan,2018,"127,202,192",Kasugai,"298,589"
Japan,2018,"127,202,192",Aomori,"298,394"
Japan,2018,"127,202,192",Otsu,"298,164"
Japan,2018,"127,202,192",Akashi,"297,279"
Japan,2018,"127,202,192",Yokkaichi,"295,841"
Japan,2018,"127,202,192",Morioka,"295,172"
China,2018,"1,427,647,786",Shanghai,"22,315,474"
China,2018,"1,427,647,786",Beijing,"11,716,620"
China,2018,"1,427,647,786",Tianjin,"11,090,314"
China,2018,"1,427,647,786",Guangzhou,"11,071,424"
China,2018,"1,427,647,786",Shenzhen,"10,358,381"
China,2018,"1,427,647,786",Wuhan,"9,785,388"
China,2018,"1,427,647,786",Dongguan,"8,000,000"
China,2018,"1,427,647,786",Chongqing,"7,457,600"
China,2018,"1,427,647,786",Chengdu,"7,415,590"
China,2018,"1,427,647,786",Nanjing,"7,165,292"
China,2018,"1,427,647,786",Nanchong,"7,150,000"
China,2018,"1,427,647,786",Xi'an,"6,501,190"
China,2018,"1,427,647,786",Shenyang,"6,255,921"
China,2018,"1,427,647,786",Hangzhou,"6,241,971"
China,2018,"1,427,647,786",Harbin,"5,878,939"
China,2018,"1,427,647,786",Tai'an,"5,499,000"
China,2018,"1,427,647,786",Suzhou,"5,345,961"
